file_name,farthest_insertion,farthest_insertion_2opt,farthest_insertion_nodeshift,farthest_insertion_nodeswap,nearest_insertion,nearest_insertion_2opt,nearest_insertion_nodeshift,nearest_insertion_nodeswap,nearest_neighbor,nearest_neighbor_2opt,nearest_neighbor_nodeshift,nearest_neighbor_nodeswap
a280.tsp,3003,2933,2892,2997,3904,2962,3131,3490,3169,2871,2897,3118
berlin52.tsp,8307,8307,8065,8194,10178,8455,8702,9455,9708,8203,8965,9069
bier127.tsp,129723,128075,126051,129644,157471,127614,137848,142219,145045,128035,128272,131471
ch130.tsp,6433,6393,6333,6388,8496,6721,7027,7557,7489,6729,7040,7363
ch150.tsp,7067,7020,6931,7032,10144,7114,7790,8630,7402,6934,6964,7237
eil101.tsp,670,669,657,667,876,712,708,785,850,688,714,772
eil51.tsp,464,450,454,464,576,443,469,492,512,445,465,494
eil76.tsp,592,578,568,589,717,579,605,659,650,577,595,645
kroA100.tsp,23186,23186,22424,23057,32164,23947,23718,29110,28086,23898,25332,24448
kroB100.tsp,23222,23200,22799,23174,32919,23948,26636,30108,27744,23397,25030,27088
kroC100.tsp,21699,21699,21386,21510,31348,24211,25385,27583,24268,22090,21813,23555
kroD100.tsp,22034,21774,21752,21933,32379,22817,24364,28341,28617,22659,25809,28136
kroE100.tsp,23516,23127,22532,23199,36344,25212,25997,30446,28356,23285,25213,26199
lin105.tsp,15368,15303,15152,15275,22404,16286,17180,20015,17231,15247,16000,16264
lin318.tsp,45634,45419,44456,45508,63157,46949,50608,56551,53163,45372,48318,52185
pr124.tsp,65845,65845,65516,65845,86380,64020,69354,80825,69804,61782,63505,63666
pr144.tsp,61974,61852,61974,61974,83967,60753,77459,83967,70783,66290,68298,70538
pr76.tsp,119692,114326,113064,119217,148909,115874,125125,137312,156998,116904,126537,152487
rat195.tsp,2639,2610,2518,2632,3525,2602,2692,3114,2677,2472,2499,2658
rat99.tsp,1318,1309,1259,1292,1671,1335,1400,1573,1597,1298,1383,1455
st70.tsp,719,719,705,717,1005,726,744,896,803,726,755,793
